DRIVER,GRAND PRIX,DATE,CAR,RACE POSITION,PTS,YEAR
Max Verstappen,Bahrain,28 Mar 2021,Red Bull Racing Honda,2,18,2021
Max Verstappen,Emilia Romagna,18 Apr 2021,Red Bull Racing Honda,1,25,2021
Max Verstappen,Portugal,02 May 2021,Red Bull Racing Honda,2,18,2021
Max Verstappen,Spain,09 May 2021,Red Bull Racing Honda,2,19,2021
Max Verstappen,Monaco,23 May 2021,Red Bull Racing Honda,1,25,2021
Max Verstappen,Azerbaijan,06 Jun 2021,Red Bull Racing Honda,DNF,0,2021
Max Verstappen,France,20 Jun 2021,Red Bull Racing Honda,1,26,2021
Max Verstappen,Styria,27 Jun 2021,Red Bull Racing Honda,1,25,2021
Max Verstappen,Austria,04 Jul 2021,Red Bull Racing Honda,1,26,2021
Max Verstappen,Great Britain,18 Jul 2021,Red Bull Racing Honda,DNF,3,2021
Max Verstappen,Hungary,01 Aug 2021,Red Bull Racing Honda,9,2,2021
Max Verstappen,Belgium,29 Aug 2021,Red Bull Racing Honda,1,12.5,2021
Max Verstappen,Netherlands,05 Sep 2021,Red Bull Racing Honda,1,25,2021
Max Verstappen,Italy,12 Sep 2021,Red Bull Racing Honda,DNF,2,2021
Max Verstappen,Russia,26 Sep 2021,Red Bull Racing Honda,2,18,2021
Max Verstappen,Turkey,10 Oct 2021,Red Bull Racing Honda,2,18,2021
Max Verstappen,United States ,24 Oct 2021,Red Bull Racing Honda,1,25,2021
Max Verstappen,Mexico,07 Nov 2021,Red Bull Racing Honda,1,25,2021
Max Verstappen,Brazil,14 Nov 2021,Red Bull Racing Honda,2,20,2021
Max Verstappen,Qatar,21 Nov 2021,Red Bull Racing Honda,2,19,2021
Max Verstappen,Saudi Arabia,05 Dec 2021,Red Bull Racing Honda,2,18,2021
Max Verstappen,Abu Dhabi,12 Dec 2021,Red Bull Racing Honda,1,26,2021
Max Verstappen,Bahrain,20 Mar 2022,Red Bull Racing RBPT,DNF,0,2022
Max Verstappen,Saudi Arabia,27 Mar 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,Australia,10 Apr 2022,Red Bull Racing RBPT,DNF,0,2022
Max Verstappen,Emilia Romagna,24 Apr 2022,Red Bull Racing RBPT,1,34,2022
Max Verstappen,Miami ,08 May 2022,Red Bull Racing RBPT,1,26,2022
Max Verstappen,Spain,22 May 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,Monaco,29 May 2022,Red Bull Racing RBPT,3,15,2022
Max Verstappen,Azerbaijan,12 Jun 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,Canada,19 Jun 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,Great Britain,03 Jul 2022,Red Bull Racing RBPT,7,6,2022
Max Verstappen,Austria,10 Jul 2022,Red Bull Racing RBPT,2,27,2022
Max Verstappen,France,24 Jul 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,Hungary,31 Jul 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,Belgium,28 Aug 2022,Red Bull Racing RBPT,1,26,2022
Max Verstappen,Netherlands,04 Sep 2022,Red Bull Racing RBPT,1,26,2022
Max Verstappen,Italy,11 Sep 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,Singapore,02 Oct 2022,Red Bull Racing RBPT,7,6,2022
Max Verstappen,Japan,09 Oct 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,United States ,23 Oct 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,Mexico,30 Oct 2022,Red Bull Racing RBPT,1,25,2022
Max Verstappen,Brazil,13 Nov 2022,Red Bull Racing RBPT,6,13,2022
Max Verstappen,Abu Dhabi,20 Nov 2022,Red Bull Racing RBPT,1,25,2022
