TEAM,PTS,YEAR
Mercedes,613.5,2021
Red Bull Racing Honda,585.5,2021
Ferrari,323.5,2021
McLaren Mercedes,275,2021
Alpine Renault,155,2021
AlphaTauri Honda,142,2021
Aston Martin Mercedes,77,2021
Williams Mercedes,23,2021
Alfa Romeo Racing Ferrari,13,2021
Haas Ferrari,0,2021
Red Bull Racing RBPT,759,2022
Ferrari,554,2022
Mercedes,515,2022
Alpine Renault,173,2022
McLaren Mercedes,159,2022
Alfa Romeo Ferrari,55,2022
Aston Martin Aramco Mercedes,55,2022
Haas Ferrari,37,2022
AlphaTauri RBPT,35,2022
Williams Mercedes,8,2022
